time,open,high,low,close,tick_volume,spread,real_volume,day_name,tz
2021-09-17 00:00:00+00:00,1.17885,1.17888,1.17794,1.17883,1888.0,2.0,0.0,Friday,UTC
2021-09-19 00:00:00+00:00,1.17292,1.17295,1.17262,1.17292,572.0,2.0,0.0,Sunday,UTC
2021-09-20 00:00:00+00:00,1.1734499999999999,1.17363,1.17277,1.17346,1846.0,10.0,0.0,Monday,UTC
2021-09-21 00:00:00+00:00,1.17445,1.17486,1.1736,1.17444,1895.0,14.0,0.0,Tuesday,UTC
2021-09-22 00:00:00+00:00,1.17463,1.17554,1.1734499999999999,1.17464,4361.0,11.0,0.0,Wednesday,UTC
2021-09-23 00:00:00+00:00,1.17487,1.17499,1.17454,1.17487,1972.0,19.0,0.0,Thursday,UTC
2021-09-24 00:00:00+00:00,1.17459,1.17463,1.17409,1.17426,1810.0,2.0,0.0,Friday,UTC
2021-09-26 00:00:00+00:00,1.17225,1.17239,1.17193,1.17225,667.0,2.0,0.0,Sunday,UTC
2021-09-27 00:00:00+00:00,1.17241,1.1724999999999999,1.17224,1.1724,2372.0,9.0,0.0,Monday,UTC
2021-09-28 00:00:00+00:00,1.1699,1.17032,1.16982,1.16989,3022.0,10.0,0.0,Tuesday,UTC
2021-09-29 00:00:00+00:00,1.16888,1.16899,1.1685,1.1688399999999999,2294.0,6.0,0.0,Wednesday,UTC
2021-09-30 00:00:00+00:00,1.16078,1.16097,1.16068,1.16078,2621.0,12.0,0.0,Thursday,UTC
2021-10-01 00:00:00+00:00,1.16037,1.16073,1.15997,1.16037,1990.0,2.0,0.0,Friday,UTC
